"ANO","MES","BERCO","TIPO_INSTALACAO","TERMINAL","PERFIL_CARGA","TIPO_MOVIMENTO","NAVEGACAO","SENTIDO_CARGA","CARGA","TONELADAS","TEUS","UNIDADES"
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA REMOCAO,OUTRAS MERCADORIAS,957.584,35,34
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,OUTRAS MERCADORIAS,928.47,49,38
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,PRODUTOS DA INDÚSTRIA QUÍMICA,126.77,8,6
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,PRODUTOS QUÍMICOS,6.506,1,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,VEÍCULOS,8.808,1,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,CELULOSE,8.07,1,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PETRÓLEO E DERIVADOS,65.1,3,3
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PETRÓLEO E DERIVADOS,93.81,4,4
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,OUTRAS MERCADORIAS,1489.11,121,75
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PRODUTOS DA INDÚSTRIA QUÍMICA,113.7,10,7
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PRODUTOS QUÍMICOS,88.161,6,5
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,ÓLEO DE ORIGEM VEGETAL,544.48,24,24
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,EMBARQUE,OUTRAS MERCADORIAS,73.66,3,3
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,EMBARQUE REMOCAO,OUTRAS MERCADORIAS,957.584,35,34
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,OUTRAS MERCADORIAS,55.175,6,3
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA REMOCAO,OUTRAS MERCADORIAS,266.618,30,15
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,OUTRAS MERCADORIAS,475.303,52,26
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,PRODUTOS DA INDÚSTRIA QUÍMICA,115.001,10,5
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,VEÍCULOS,27.149,2,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,CELULOSE,113.18,8,4
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PETRÓLEO E DERIVADOS,22.25,2,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,FERTILIZANTES,11.25,2,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,OUTRAS MERCADORIAS,2232.268,212,106
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PRODUTOS DA INDÚSTRIA QUÍMICA,69.38,6,3
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,PRODUTOS QUÍMICOS,22.48,2,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,ÓLEO DE ORIGEM VEGETAL,57.34,4,2
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,EMBARQUE REMOCAO,OUTRAS MERCADORIAS,266.618,30,15
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,OUTRAS MERCADORIAS,15.98,2,1
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,OUTRAS MERCADORIAS,56.62,8,4
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,EMBARQUE,OUTRAS MERCADORIAS,56.9,4,2
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,OUTRAS MERCADORIAS,11.93,3,2
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESEMBARQUE,SEM CARGAS,85.81,29,29
"2023","01",EPORT II, ,EMBRAPORT - TPF,CARGA CONTEINERIZADA, ,LONGO CURSO,DESCARGA TRANSBO,PRODUTOS QUÍMICOS,17.6,1,1
