ano,mes,porto,graos,outras,sugar
2005,1,5027941,412400,1780376,581383
2005,2,5316605,707274,1821686,878016
2005,3,5899912,1221079,1917759,610140
2005,4,5850639,1301598,1976311,764285
2005,5,6826372,1575474,2122232,1007705
2005,6,6974470,1327613,2063337,1310654
2005,7,7071778,1320193,2177109,1201820
2005,8,7068940,1027978,2463302,1375696
2005,9,6045096,1024134,2155441,896846
2005,10,6416200,874605,2374628,741059
2005,11,5808336,719366,2188630,899940
2005,12,5373390,528666,2145559,560709
2006,1,4588410,268818,1859030,496743
2006,2,5321605,685774,1924978,714095
2006,3,5853512,1425697,1937130,559473
2006,4,6450290,1754296,2053412,612101
2006,5,6323896,1000453,2225525,892746
2006,6,6601746,1157860,2085901,1195568
2006,7,6973161,1104449,2041292,1428222
2006,8,7885080,1134368,2585873,1293853
2006,9,6755243,755875,2328528,1220760
2006,10,6726021,712896,2514994,1082569
2006,11,6164815,419292,2459915,1005446
2006,12,6544091,450846,2530887,1179556
2007,1,5875643,225710,2261413,902932
2007,2,5938955,581766,2381667,653109
2007,3,6679109,1273274,2254575,712383
2007,4,6557842,1425743,2008325,708593
2007,5,6813859,1089282,2267053,992308
2007,6,7207851,994791,2150215,1336171
2007,7,7770913,1219515,2340087,1463095
2007,8,7827568,1120198,2450291,1502840
2007,9,7388288,1100365,2238081,1384935
2007,10,7068229,1091821,2427361,1127013
2007,11,6799628,731111,2235631,1149735
2007,12,5784730,472320,2151717,604586
2008,1,5516404,506863,2189620,482513
2008,2,5618934,520764,2023966,604817
2008,3,6943696,1791164,2227731,598749
2008,4,6468280,1603963,1860504,604202
2008,5,6996279,1607014,2022183,773905
2008,6,7608107,1423251,2222543,1254749
2008,7,7955171,1469278,2235732,1417107
2008,8,7620866,891733,2560603,1205358
2008,9,7772369,948472,2518765,1334239
2008,10,7491845,753412,2852810,1264496
2008,11,7031429,875306,2641149,963602
2008,12,6660337,876697,2551606,718695
2009,1,5154919,695339,1676286,610738
2009,2,5261469,1020068,1679812,763031
2009,3,6694959,2120783,1904862,632962
2009,4,7177982,2049023,1841982,1030523
2009,5,7386917,1782558,2038460,1212011
2009,6,7201184,1601166,1908013,1258891
2009,7,6891210,1006716,2135475,1107550
2009,8,8351298,1356394,2513196,1581235
